InChI Key,SMILES,DrugBank ID,Target uniprot,Target organism,Target actions,Target cellular location,ATC Codes,CAS Number
REYFJDPCWQRWAA-UHFFFAOYSA-N,C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1,DB08799,P35367,Human,antagonist,Cell membrane,R01AC04; R06AX05,91-75-8
WLJVXDMOQOGPHL-UHFFFAOYSA-N,OC(=O)CC1=CC=CC=C1,DB09269,P23141,Human,substrate,Endoplasmic reticulum lumen,,103-82-2
VTLYFUHAOXGGBS-UHFFFAOYSA-N,[Fe+3],DB13949,,,,,V03AE08,20074-52-6
SCXCDVTWABNWLW-UHFFFAOYSA-M,[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCC,DB13969,,,,,,32426-11-2
VPGRYOFKCNULNK-ACXQXYJUSA-N,[H][C@@]12CC[C@H](C(=O)COC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,DB06780,P08235,Human,agonist,Cytoplasm,,56-47-3
SBNPWPIBESPSIF-MHWMIDJBSA-N,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,DB00050,P22888; P30968,Human,antagonist,Cell membrane,H01CC02,120287-85-6
PMATZTZNYRCHOR-CGLBZJNRSA-N,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,DB00091,P49069; P62937; Q96LZ3; P20815; P08684; P24462; P08183; O15438; O95342; P33527; P46721; Q12908; Q14973; Q4U2R8; Q5T3U5; Q92887; Q9UNQ0; Q9Y6L6; P33261; P10632; P11712; P10635; P30405,Human,binder; inhibitor; substrate; inducer,Membrane; Cytoplasm; Endoplasmic reticulum membrane; Cell membrane; Apical cell membrane; Basolateral cell membrane; Mitochondrion matrix,S01XA18; L04AD01,59865-13-3
OEYIOHPDSNJKLS-UHFFFAOYSA-N,C[N+](C)(C)CCO,DB00122,Q9Y5K3; P22303; P49585; O14939; P06276; Q13393; Q8TCT1; O15244; O15245; O75751; O76082; Q9H015; Q9Y6K0; Q8WWI5; Q53GD3; Q8IWA5; Q8N4M1; Q9Y259; P28329; P35790; Q8NE62; Q9GZV3; P36544,Human,product of; substrate; inhibitor,Endoplasmic reticulum; Cell junction; Cytoplasm; Membrane; Secreted; Cytoplasmic; Basolateral cell membrane; Endoplasmic reticulum membrane; Cell membrane; Mitochondrion inner membrane,N02BA03,62-49-7
MTCFGRXMJLQNBG-REOHCLBHSA-N,N[C@@H](CO)C(O)=O,DB00133,P35520; P20132; Q9GZT4; O15270; O15269; P49591; P21549; Q8TF71,Human,inhibitor,Cytoplasm; Endoplasmic reticulum membrane; Peroxisome; Cell membrane,,56-45-1
MBLBDJOUHNCFQT-LXGUWJNJSA-N,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,DB00141,P54802; P51606; P15291; O60512; O60513; O60909; Q9UJ70; Q9UK23,Human,activator,Lysosome; Golgi apparatus,,7512-17-6
CVSVTCORWBXHQV-UHFFFAOYSA-N,CN(CC(O)=O)C(N)=N,DB00148,P48029; Q14353; P06732; P12532; P12277; P17540; O76082,Human,product of; ligand; inhibitor,Membrane; Cytoplasm; Mitochondrion inner membrane,,57-00-1
XUJNEKJLAYXESH-REOHCLBHSA-N,N[C@@H](CS)C(O)=O,DB00151,P49589; P48507; P48506; P17174; P32929; P35520; Q16878; P16455; P48637; Q9BZV2; Q9HA77; Q9Y600; Q9Y697; Q8TF71,Human,inhibitor,Cytoplasm; Cytoplasmic; Nucleus; Membrane; Mitochondrion matrix; Mitochondrion; Cell membrane,,52-90-4
JZRWCGZRTZMZEH-UHFFFAOYSA-N,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,DB00152,Q9H3S4; O15244; O15245; O76082; O60779; P13584,Human,ligand; inhibitor; binder; inducer,Membrane; Basolateral cell membrane; Endoplasmic reticulum membrane,A11DA01,59-43-8
MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,DB00153,P11473; Q07973; O15528; Q02318; P08684; Q6VVX0,Human,agonist; substrate,Nucleus; Mitochondrion; Mitochondrion membrane; Endoplasmic reticulum membrane,A11CC01,50-14-6
HOBAELRKJCKHQD-QNEBEIHSSA-N,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,DB00154,P35354; P23219; O15540,Human,inhibitor,Microsome membrane; Cytoplasm,,1783-84-2
AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@@H](O)[C@H](N)C(O)=O,DB00156,Q8IYQ7; P26639; Q9BW92; Q8TF71,Human,inhibitor,Cytoplasm; Mitochondrion matrix; Cell membrane,,72-19-5
LXNHXLLTXMVWPM-UHFFFAOYSA-N,CC1=C(O)C(CO)=C(CO)C=N1,DB00165,O00764; P04798,Human,ligand; inhibitor,Cytoplasm; Endoplasmic reticulum membrane,A11HA02,65-23-6
AGPKZVBTJJNPAG-WHFBIAKZSA-N,CC[C@H](C)[C@H](N)C(O)=O,DB00167,P45954; P54687; O15382; P41252; Q9NSE4; Q8TF71,Human,inhibitor,Mitochondrion matrix; Cytoplasm; Mitochondrion; Cell membrane,,73-32-5
GFFGJBXGBJISGV-UHFFFAOYSA-N,NC1=C2NC=NC2=NC=N1,DB00173,P07741; Q13126; Q05603; O00763; P24666; P0AF12; Q9BY49; P17802; Q8RLY5; P78362; Q5SL87; P22309,Human; Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720); Escherichia coli (strain K12); Lactobacillus helveticus; Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579),inhibitor,Cytoplasm; Mitochondrion; Cytoplasmic; Peroxisome; Microsome,,73-24-5
DCXYFEDJOCDNAF-REOHCLBHSA-N,N[C@@H](CC(N)=O)C(O)=O,DB00174,Q15758; P08243; O43776; Q7L266; Q96I59; Q99624; Q8TF71,Human,inhibitor,Cell membrane; Cytoplasm; Mitochondrion matrix,,70-47-3
ACWBQPMHZXGDFX-QFIPXVFZSA-N,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,DB00177,P30556; P11712; Q9NPD5; Q9Y6L6; P02768,Human,antagonist; substrate; inhibitor,Cell membrane; Endoplasmic reticulum membrane; Basolateral cell membrane; Secreted,C10BX10; C09DB08; C09DX02; C09DX01; C09DB01; C09DA03; C09DX04; C09CA03,137862-53-4
KWTSXDURSIMDCE-UHFFFAOYSA-N,CC(N)CC1=CC=CC=C1,DB00182,Q01959; Q16568; Q96RJ0; P10635; O75751; O76082; Q05940; P11509; P23975; P35348; P35368; P25100; P08913; P18089; P18825; P08588; P07550; P13945; P14416; P27338; P31645; P21397; Q99870,Human,negative modulator; agonist; substrate; inhibitor; stimulator; binder,Cell membrane; Secreted; Endoplasmic reticulum membrane; Membrane; Cytoplasmic vesicle membrane; Nucleus membrane; Mitochondrion outer membrane,N06BA01,300-62-9
SNICXCGAKADSCV-JTQLQIEISA-N,CN1CCC[C@H]1C1=CN=CC=C1,DB00184,Q15822; P17787; P36544; P43681; Q9GZZ6; Q9UGM1; P11509; P05181; Q16696; P20813; P30926; P32297; P30532; Q15825; Q05901; O15244; O15245; O75751; O76082; Q9H015; P04798; P05177; P33261; P10632; P11712; P10635; P08684; P21397; P27338; P11511; P28329,Human,agonist; substrate; inhibitor; inducer,Cell junction; Endoplasmic reticulum membrane; Membrane; Basolateral cell membrane; Mitochondrion outer membrane,N07BA01,54-11-5
DIWRORZWFLOCLC-UHFFFAOYSA-N,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,DB00186,P30536; P54855; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Human,other; substrate; positive allosteric modulator,Mitochondrion membrane; Microsome membrane; Cell junction,N05BA06; N05BA56,846-49-1
UCEWGESNIULAGX-UHFFFAOYSA-N,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,DB00192,Q14524,Human,inhibitor,Membrane,,74517-78-5
TVYLLZQTGLZFBW-ZBFHGGJFSA-N,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,DB00193,P35372; P23975; P28335; P41145; P31645; P10635; P41143; P08684; P20813; Q8TCU5; Q693P7; P20309,Human,agonist; inhibitor; antagonist; substrate,Cell membrane; Membrane; Endoplasmic reticulum membrane,N02AX52; N02AX02,27203-92-5
OIRDTQYFTABQOQ-UHTZMRCNSA-N,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,DB00194,P03198; P09250; Q9QNF7; P00813,Human; HHV-4; HHV-3; HHV-1,incorporation into and destabilization; inhibitor; inducer; substrate,Host nucleus; Cell membrane,J05AB03; S01AD06,24356-66-9
NWIUTZDMDHAVTP-UHFFFAOYSA-N,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,DB00195,P08588; P07550; P05177; P10635,Human,antagonist; substrate; inhibitor,Cell membrane; Endoplasmic reticulum membrane,C07AB05; S01ED52; S01ED02,63659-18-7
RFHAOTPXVQNOHP-UHFFFAOYSA-N,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,DB00196,P08684; P11712; P33261; P20815; P24462; P08183; P10613; P15538; P05177,Human; Yeast,inhibitor,Endoplasmic reticulum membrane; Cell membrane; Membrane; Mitochondrion membrane,J02AC01; D01AC15; J01RA07,86386-73-4
WKSAUQYGYAYLPV-UHFFFAOYSA-N,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,DB00205,P13922; P00374; P10635; P11712; P10632; P07686,Plasmodium falciparum (isolate K1 / Thailand); Human,inhibitor,Endoplasmic reticulum membrane; Lysosome,P01BF04; P01BD01; P01BD51,58-14-0
UXIGZRQVLGFTOU-VQXQMPIVSA-N,[H][C@@](CC1=CC=CC=C1)(CS(=O)(=O)C(C)(C)C)C(O)=N[C@@]([H])(CC1=CN=CN1)C(O)=N[C@@]([H])(CC1CCCCC1)[C@@]([H])(O)[C@@]([H])(O)C1CC1,DB00212,P00797,Human,inhibitor,Secreted,C09XA01,126222-34-2
WSEQXVZVJXJVFP-UHFFFAOYSA-N,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,DB00215,P31645; P33261; P10635; P08684; P08183; P05177; P20813; P05181; P35367; Q01959; P23975; P35348; P11229; P28335,Human,inhibitor; substrate; binder; antagonist,Cell membrane; Endoplasmic reticulum membrane; Membrane; Nucleus membrane,N06AB04,59729-33-8
NIVZHWNOUVJHKV-UHFFFAOYSA-N,CN\C(NCC1=CC=CC=C1)=N/C,DB00217,P08913; P18089; P18825; P48048; P08588; P07550; P13945,Human,agonist; inhibitor; antagonist,Cell membrane,C02CC01,55-73-2
FABPRXSRWADJSP-MEDUHNTESA-N,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,DB00218,P43700; P43702; P11388,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd); Human,inhibitor,Cytoplasm; Cell membrane,J01MA14; S01AE07,151096-09-2
JPGQOUSTVILISH-UHFFFAOYSA-N,FC(F)OC(F)(F)C(F)Cl,DB00228,P98194; P23415; P48167; P42261; Q09470; P30049; O15554; P05181; P02768; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Human,inhibitor; agonist; antagonist; inducer; other/unknown; substrate; positive allosteric modulator,Golgi apparatus membrane; Cell junction; Cell membrane; Mitochondrion; Endoplasmic reticulum membrane; Secreted,N01AB04,13838-16-9
AYXYPKUFHZROOJ-ZETCQYMHSA-N,CC(C)C[C@H](CN)CC(O)=O,DB00230,O00555; P43005,Human,inhibitor; Other,Membrane; Cell membrane,N03AX16,148553-50-8
CBQGYUDMJHNJBX-RTBURBONSA-N,[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1,DB00234,P23975; P08684; P10635; P08183,Human,inhibitor; substrate; inducer,Membrane; Endoplasmic reticulum membrane; Cell membrane,N06AX18,71620-89-8
ZRIHAIZYIMGOAB-UHFFFAOYSA-N,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,DB00237,P43681; P36544; P42262; Q13002; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Human,antagonist; positive allosteric modulator,Cell junction; Cell membrane,,125-40-6
QRJJEGAJXVEBNE-HKOYGPOVSA-N,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,DB00239,P10613; Q04782; P08684; P33261; O75469,Yeast; Human,inhibitor; inducer; substrate; partial agonist,Membrane; Endoplasmic reticulum membrane; Nucleus,D01AC11; G01AF17; G01AF20,64211-45-6
UZVHFVZFNXBMQJ-UHFFFAOYSA-N,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,DB00241,P14867; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Human,potentiator; antagonist; positive allosteric modulator,Cell junction; Cell membrane,,77-26-9
MVWVFYHBGMAFLY-UHFFFAOYSA-N,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,DB00246,P35348; P14416; P28335; P35462; P08908; P28221; P35367; P28223; P21917; P34969; P08684; P08913; P35368; P18089; P18825; P21728; P21918; P11229; P08172; P20309; P08173; P08912; P28222; P28566; P46098; P50406; P20815; P24462; P05177; P10635,Human,antagonist; agonist; substrate; inhibitor,Nucleus membrane; Cell membrane; Endoplasmic reticulum membrane; Cell junction,N05AE04,146939-27-7
KPJZHOPZRAFDTN-NQUBZZJWSA-N,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,DB00247,P28223; P08908; P34969; P28335; P41595; P28222; P30939; P28566,Human,antagonist; agonist; binder,Cell membrane,N02CA04,361-37-5
MQJKPEGWNLWLTK-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,DB00250,P0C0X2; P0C0X1; P11712; P05181; P08684; P31513; P23219; P35354; P10632; P33261; P11245; P20815; P24462; P05164; P33260,Mycobacterium leprae (strain TN); Human,inhibitor; substrate; inducer,Endoplasmic reticulum membrane; Microsome membrane; Cytoplasm; Lysosome,J04BA02; D10AX05,80-08-0
CXOFVDLJLONNDW-UHFFFAOYSA-N,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,DB00252,Q14524; P35498; P10632; P33261; P11712; P20813; P20815; P02768; P08684; Q9NYB5; P08183; Q92887; P15538; P33260; P24462; O75469; Q07699; Q9NY46,Human,inhibitor; substrate; inducer,Membrane; Endoplasmic reticulum membrane; Secreted; Cell membrane; Apical cell membrane; Mitochondrion membrane; Nucleus,N03AB02; N03AB52,57-41-0
RGLYKWWBQGJZGM-ISLYRVAYSA-N,CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,DB00255,P03372; P62508; P02766; P21964; P11511; P11509; Q9UNQ0; P08183; Q92731; P08684; P10632; P11712; P05181; P11474; O95718; Q15596; O75469; P10275; P04278,Human,agonist; substrate; inducer; inhibitor; antagonist,Nucleus; Secreted; Cytoplasm; Membrane; Endoplasmic reticulum membrane; Cell membrane,L02AA01; G03CC05; G03CB02; L02AA04,56-53-1
VNFPBHJOKIVQEB-UHFFFAOYSA-N,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,DB00257,O15554; P05108; P05177; P10635; P10632; P08684; P20813; O15438; P08183; Q92887; P15538; P11511; P11509; P33261; P11712; P05181; P24462; P10613; O75469; Q14994,Human; Yeast,inhibitor; inducer; antagonist; activator; partial agonist,Cell membrane; Mitochondrion membrane; Endoplasmic reticulum membrane; Membrane; Apical cell membrane; Nucleus,D01AC01; G01AF02; A01AB18,23593-75-1
HJJDBAOLQAWBMH-YCRCPZNHSA-N,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,DB00267,Q8XJ01; P0AD68,Clostridium perfringens (strain 13 / Type A); Escherichia coli (strain K12),inhibitor,Cell membrane; Cell inner membrane,J01DD05,65085-01-0
JXDFEQONERDKSS-UHFFFAOYSA-N,NCCC1=CC=NN1,DB00272,P25021,Human,agonist,Cell membrane,V04CG02,105-20-4
VTRAEEWXHOVJFV-UHFFFAOYSA-N,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,DB00275,P30556; Q92887; Q9NPD5; Q9Y6L6,Human,antagonist; substrate; inducer,Cell membrane; Apical cell membrane; Basolateral cell membrane,C09DA08; C09DX03; C09CA08; C09DB02,144689-24-7
AUYYCJSJGJYCDS-LBPRGKRZSA-N,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,DB00279,P10828; P10827; P05543; P02766; P02768; P08183; Q8TCC7; Q8TF71; Q96BD0; Q9NYB5; P46721; Q14973; Q6ZQN7; Q9NPD5; Q9Y6L6; Q01650; P12004,Human,agonist; inducer; inhibitor; substrate,Nucleus; Secreted; Cell membrane; Basolateral cell membrane; Membrane; Cytoplasm,H03AA02; H03AA03,2/3/6893
CEMXHAPUFJOOSV-XGWNLRGSSA-N,[H][C@@](O)(CO)[C@@]([H])(O[C@@]1([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(C)[C@@]([H])(N[C@@]3([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O)[C@]([H])(O)[C@@]([H])(O)C=O,DB00284,O43451; P10253; P14410; P04746,Human,inhibitor,Apical cell membrane; Lysosome; Secreted,A10BF01; A10BD17,56180-94-0
VHGCDTVCOLNTBX-QGZVFWFLSA-N,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,DB00289,P23975; P10635; P31645; P33261; P08684; Q01959; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391,Human,substrate; inhibitor; binder; blocker,Membrane; Endoplasmic reticulum membrane; Cell membrane,N06BA09,83015-26-3
OYVAGSVQBOHSSS-WXFSZRTFSA-O,C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C,DB00290,P49916; P18858; Q13867,Human,inhibitor; cleavage; substrate,Mitochondrion; Nucleus; Cytoplasm,L01DC01,11056-06-7
JCKYGMPEJWAADB-UHFFFAOYSA-N,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,DB00291,P09211; P46721,Human,cross-linking/alkylation; substrate,Cytoplasm; Cell membrane,L01AA02,305-03-3
LEBVLXFERQHONN-UHFFFAOYSA-N,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,DB00297,Q9Y5Y9; P34995; P08684; P05177; P33261; P10635,Human,inhibitor; other/unknown; substrate,Membrane; Cell membrane; Endoplasmic reticulum membrane,N01BB01; N01BB51,38396-39-3
RFWZESUMWJKKRN-UHFFFAOYSA-N,CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1,DB00298,P35348; P25100; P35368,Human,antagonist,Nucleus membrane; Cell membrane,S01EX02,72822-12-9
NAVMQTYZDKMPEU-UHFFFAOYSA-N,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C,DB00307,P28702; P08684; P19793; P48443; P11712,Human,agonist; substrate; inducer,Nucleus; Endoplasmic reticulum membrane,L01XX25,153559-49-0
ALOBUEHUHMBRLE-UHFFFAOYSA-N,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,DB00308,Q9H252; Q02641; Q06432; P54289; Q12809; Q13936; O00180; Q9Y257; Q14654; Q9NS40,Human,inhibitor; activator,Membrane; Cell membrane,C01BD05,122647-31-8
OROGSEYTTFOCAN-DNJOTXNNSA-N,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,DB00318,P35372; P41143; P41145; P10635; P08684; P20815; P24462; O15245; P16662; P06133,Human,partial agonist; agonist; substrate; inhibitor,Cell membrane; Endoplasmic reticulum membrane; Basolateral cell membrane; Microsome membrane,N02AA59; N02AA79; R05DA04,76-57-3
LUZRJRNZXALNLM-JGRZULCMSA-N,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O,DB00320,P08684; P28221; P28222; P08913; P41595; P08183,Human,substrate; inhibitor; agonist,Endoplasmic reticulum membrane; Cell membrane,N02CA01; N02CA51,511-12-6
ASPOIVQEUUCDQT-UHFFFAOYSA-N,O=N[Fe--](C#N)(C#N)(C#N)(C#N)C#N,DB00325,P16066; P04798; P05177,Human,agonist; inhibitor,Membrane; Endoplasmic reticulum membrane,C02DD01,15078-28-1
FATUQANACHZLRT-KMRXSBRUSA-L,[Ca++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O,DB00326,,,,,A12AA10,29039-00-7
KVWDHTXUZHCGIO-UHFFFAOYSA-N,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,DB00334,P08912; P21728; P11229; P20309; P28223; P21917; P35367; P08173; P08172; P14416; P28335; P35462; P35368; P05177; P08908; P28222; P28221; P28566; P46098; P50406; P34969; P35348; P08913; P18089; P18825; P21918; P02768; P02763; P31513; P10635; P08183; P33261; P11712; P08684; P41595; P47898; P25021; Q9H3N8; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P08588; P07550; P13945,Human,antagonist; agonist; substrate; inhibitor,Cell membrane; Nucleus membrane; Endoplasmic reticulum membrane; Cell junction; Secreted; Microsome membrane,N05AH03,132539-06-1
ZKLPARSLTMPFCP-UHFFFAOYSA-N,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,DB00341,P35367,Human,antagonist,Cell membrane,R06AE07,83881-51-0
HSMNQINEKMPTIC-UHFFFAOYSA-N,NC1=CC=C(C=C1)C(=O)NCC(O)=O,DB00345,O15244; O15245; O76082; P08183; Q4U2R8; Q8TCC7; Q92887; Q9H015; Q9NSA0; Q9UIG8; Q9Y6L6; P33527; P46721; P53985; Q9Y694,Human,inhibitor; substrate,Membrane; Basolateral cell membrane; Cell membrane; Apical cell membrane,V04CH30,61-78-9
IRYJRGCIQBGHIV-UHFFFAOYSA-N,CN1C(=O)OC(C)(C)C1=O,DB00347,O43497; P33261; P10632; P11712; P05181; P08684,Human,inhibitor; substrate,Membrane; Endoplasmic reticulum membrane,N03AC02,127-48-0
OUBCNLGXQFSTLU-UHFFFAOYSA-N,[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O,DB00348,P32754,Human,inhibitor,,A16AX04,104206-65-7
RONZAEMNMFQXRA-UHFFFAOYSA-N,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1,DB00370,P28223; P46098; P08913; P28335; P41145; P35367; P05177; P08684; P10635; P10632; P11712; P18825; P34969; P35348; P35368; P25100; P14416; P35462; P23975; P31645; Q01959; P41595; P21728; P21918; Q9Y5N1; P08588; P07550,Human,antagonist; agonist; substrate; inhibitor; inducer; binder; binding,Cell membrane; Cell junction; Endoplasmic reticulum membrane; Nucleus membrane; Membrane,N06AX11,85650-52-8
NPPQSCRMBWNHMW-UHFFFAOYSA-N,CCCC(C)(COC(N)=O)COC(N)=O,DB00371,P14867; P47869; P34903; P48169; P31644; Q16445; P08183; P33261; P05181; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Human,agonist; inhibitor; substrate; positive allosteric modulator,Cell junction; Cell membrane; Endoplasmic reticulum membrane,N05BC51; N05CX01; N05BC01,57-53-4
BMKDZUISNHGIBY-ZETCQYMHSA-N,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,DB00380,P11388; Q02880,Human,inhibitor,Cytoplasm,V03AF02,24584-09-6
SONNWYBIRXJNDC-VIFPVBQESA-N,CNC[C@H](O)C1=CC(O)=CC=C1,DB00388,P35348; P35368; P21397; P25100; P05177,Human,substrate; inducer,Nucleus membrane; Mitochondrion outer membrane; Cell membrane; Endoplasmic reticulum membrane,S01FB01; R01AA04; S01GA05; R01BA03; R01BA53; C01CA06; S01GA55; R01AB01,59-42-7
VKQFCGNPDRICFG-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C,DB00401,P08684; Q01668; Q13698; Q13936; P54289; Q08289; P20815; P24462; P08183; P05177,Human,substrate; inhibitor,Endoplasmic reticulum membrane; Membrane; Cell membrane,C08CA07,63675-72-9
YRALAIOMGQZKOW-HYAOXDFASA-N,[H][C@](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,DB00403,P32238,Human,inducer,Cell membrane,V04CC04,17650-98-5
